,Location,Period,Dim1,First Tooltip,No
429,澳大利亚,2016,Both sexes,10.92,AU
430,澳大利亚,2016,Male,16.33,AU
431,澳大利亚,2016,Female,5.56,AU
432,澳大利亚,2015,Both sexes,11.81,AU
433,澳大利亚,2015,Male,17.74,AU
434,澳大利亚,2015,Female,5.97,AU
435,澳大利亚,2014,Both sexes,11.31,AU
436,澳大利亚,2014,Male,16.95,AU
437,澳大利亚,2014,Female,5.75,AU
438,澳大利亚,2013,Both sexes,10.24,AU
439,澳大利亚,2013,Male,15.26,AU
440,澳大利亚,2013,Female,5.29,AU
441,澳大利亚,2012,Both sexes,10.48,AU
442,澳大利亚,2012,Male,15.37,AU
443,澳大利亚,2012,Female,5.66,AU
444,澳大利亚,2011,Both sexes,10.06,AU
445,澳大利亚,2011,Male,15.19,AU
446,澳大利亚,2011,Female,4.97,AU
447,澳大利亚,2010,Both sexes,10.41,AU
448,澳大利亚,2010,Male,15.94,AU
449,澳大利亚,2010,Female,4.92,AU
450,澳大利亚,2009,Both sexes,10.01,AU
451,澳大利亚,2009,Male,15.23,AU
452,澳大利亚,2009,Female,4.83,AU
453,澳大利亚,2008,Both sexes,10.45,AU
454,澳大利亚,2008,Male,16.3,AU
455,澳大利亚,2008,Female,4.64,AU
456,澳大利亚,2007,Both sexes,9.82,AU
457,澳大利亚,2007,Male,14.89,AU
458,澳大利亚,2007,Female,4.79,AU
459,澳大利亚,2006,Both sexes,9.53,AU
460,澳大利亚,2006,Male,14.61,AU
461,澳大利亚,2006,Female,4.52,AU
462,澳大利亚,2005,Both sexes,10.07,AU
463,澳大利亚,2005,Male,15.85,AU
464,澳大利亚,2005,Female,4.38,AU
465,澳大利亚,2004,Both sexes,9.21,AU
466,澳大利亚,2004,Male,14.61,AU
467,澳大利亚,2004,Female,3.91,AU
468,澳大利亚,2003,Both sexes,9.61,AU
469,澳大利亚,2003,Male,15.05,AU
470,澳大利亚,2003,Female,4.27,AU
471,澳大利亚,2002,Both sexes,10.38,AU
472,澳大利亚,2002,Male,16.22,AU
